state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Gujarat,GJ,Gir National Park,Wildlife Sanctuary / National Park,nan,6:00 AM - 10:00 AM & 3:00 PM - 6:00 PM (Oct-June); Closed Mondays,"₹240 (Indians), ₹1,200 (foreigners); Vehicle charges: ₹600-1,500","December to March (cooler weather, better wildlife visibility)",Junagadh Railway Station (65 km),Sasan Bus Stand (2 km),Rajkot Airport (160 km),No metro available,"Forest tracks, 4WD vehicles recommended, not wheelchair accessible","Mandatory forest guides provided, English and Gujarati speaking","Available at entry gates, ₹20-50","Forest rest houses, cafeterias, eco-shops, interpretive center",https://girlion.gujarat.gov.in/,https://en.wikipedia.org/wiki/Gir_National_Park,"Only home to Asiatic lions, advance booking required, photography charges extra",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Somnath Temple,Temple / Religious Site,nan,"6:00 AM - 9:30 PM (Aarti: 7:00 AM, 12:00 PM, 7:00 PM)",Free entry,October to March (pleasant weather for temple visits),Somnath Railway Station (1 km),Somnath Bus Stand (1 km),Rajkot Airport (140 km),No metro available,"Well-maintained roads, stairs to temple, wheelchair access limited","Local guides available, audio guides in multiple languages","Available, ₹10-20 for vehicles","Dharamshala, restaurants, souvenir shops, restrooms",https://somnath.org/,https://en.wikipedia.org/wiki/Somnath_temple,"First among 12 Jyotirlingas, sound and light show in evening, beachside location",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Rann of Kutch,Natural Wonder / Cultural Tourism,nan,6:00 PM - 10:00 PM (Rann Utsav period),₹25 per person for Rann area,"November to February (Rann Utsav season, full moon nights)",Bhuj Railway Station (80 km),Dhordo Village (5 km),Bhuj Airport (85 km),No metro available,"Special vehicles provided, temporary roads during festival","Cultural programs, camel rides, local craft demonstrations","Designated parking areas, included in tour packages","Tent accommodation, restaurants, craft villages, cultural centers",https://www.gujarattourism.com/kutch/,https://en.wikipedia.org/wiki/Rann_of_Kutch,"World's largest salt desert, Rann Utsav festival, full moon nights spectacular",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Sabarmati Ashram,Historical Monument / Museum,nan,8:30 AM - 6:30 PM (closed on Mondays),Free entry,October to March (pleasant weather for walking),Ahmedabad Railway Station (8 km),Sabarmati Ashram Bus Stop (0.5 km),Sardar Vallabhbhai Patel Airport (15 km),Sabarmati Metro Station (2 km),"Well-paved paths, wheelchair accessible, guided walkways","Available in multiple languages, audio tours provided","Available, ₹10 for two-wheelers, ₹20 for cars","Museum shop, cafeteria, library, restrooms",https://sabarmatiashram.org/,https://en.wikipedia.org/wiki/Sabarmati_Ashram,"Mahatma Gandhi's residence, Dandi March starting point, spinning wheel demonstrations",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Rani ki Vav,Unesco World Heritage Site / Historical Monument,nan,8:00 AM - 6:00 PM,"₹40 (Indians), ₹600 (foreigners)",October to March (cooler weather for exploration),Mahesana Railway Station (30 km),Patan Bus Stand (2 km),Sardar Vallabhbhai Patel Airport (125 km),No metro available,"Steps to descend, not wheelchair accessible","ASI guides available, multilingual support","Available, ₹10 for cars","Information center, restrooms, small shops",,https://en.wikipedia.org/wiki/Rani_ki_Vav,"11th-century stepwell, UNESCO World Heritage Site, intricate carvings, flood-lit in evenings",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Dwarka Temple,Temple / Religious Site,nan,6:30 AM - 12:30 PM & 5:00 PM - 9:30 PM,Free entry,"October to March (pleasant weather), Janmashtami festival",Dwarka Railway Station (1 km),Dwarka Bus Stand (1 km),Jamnagar Airport (137 km),No metro available,"Well-connected roads, temple has stairs, limited wheelchair access","Local guides available, English and Hindi support","Available, ₹20 for cars","Dharamshala, restaurants, souvenir shops, restrooms",https://dwarkadhish.org/,https://en.wikipedia.org/wiki/Dwarkadhish_Temple,"One of Char Dham pilgrimage sites, Krishna's legendary kingdom, beachside location",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Ahmedabad Heritage Walk Area,Heritage / Cultural Tourism,nan,Heritage walk: 8:00 AM - 10:00 AM (Sunday to Friday),₹100 per person for guided heritage walk,October to March (comfortable walking weather),Ahmedabad Railway Station (3 km),Lal Darwaja Bus Stand (1 km),Sardar Vallabhbhai Patel Airport (12 km),Shahpur Metro Station (1.5 km),"Walking tour, some narrow lanes, limited wheelchair access","Expert heritage guides, English and Gujarati support","Street parking available, ₹10-20","Traditional eateries, craft shops, restrooms at major monuments",https://www.gujarattourism.com/,https://en.wikipedia.org/wiki/Old_City_(Ahmedabad),"UNESCO World Heritage City, Pol houses, traditional architecture, street food experiences",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Gujarat Science City,Science Museum / Educational Tourism,nan,10:30 AM - 7:30 PM (closed on Mondays),"₹60 (adults), ₹40 (children); IMAX: ₹125 additional","Year-round (indoor facility), avoid summer afternoons",Ahmedabad Railway Station (15 km),Science City Bus Stop (0.5 km),Sardar Vallabhbhai Patel Airport (8 km),APMC Metro Station (3 km),"Modern infrastructure, wheelchair accessible, elevators available","Interactive exhibits, educational programs for groups","Ample parking, ₹20 for cars","Food court, gift shop, restrooms, energy park",https://sciencecity.gujarat.gov.in/,https://en.wikipedia.org/wiki/Gujarat_Science_City,"Largest science center in India, IMAX theater, robotics gallery, space exhibits",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Marine National Park,Marine National Park / Eco-Tourism,nan,8:00 AM - 5:00 PM (boat trips tide-dependent),"₹25 (Indians), ₹300 (foreigners); Boat charges extra","October to March (calm seas, better weather)",Jamnagar Railway Station (30 km),Jamnagar Bus Stand (30 km),Jamnagar Airport (35 km),No metro available,"Boat access required, not suitable for mobility-impaired visitors","Marine biologists, local fishermen guides","Available at jetty points, ₹15 for cars","Basic facilities at jetties, packed lunch recommended",,"https://en.wikipedia.org/wiki/Marine_National_Park,_Gulf_of_Kutch","India's first Marine National Park, coral reefs, mangroves, dolphin sightings possible",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Champaner-Pavagadh Archaeological Park,Unesco World Heritage Site / Historical Monument,nan,Sunrise to Sunset; Kalika Temple: 5:00 AM - 10:00 PM,"₹25 (Indians), ₹300 (foreigners)",October to March (pleasant weather for trekking),Vadodara Railway Station (47 km),Champaner Bus Stand (2 km),Vadodara Airport (50 km),No metro available,"Hill climbing required, ropeway available for temple, moderate trekking","ASI guides available, local guides for temple trek","Available at base, ₹10 for cars","Rest house, small eateries, restrooms",,https://en.wikipedia.org/wiki/Champaner-Pavagadh_Archaeological_Park,"UNESCO World Heritage Site, mix of Hindu and Islamic architecture, ropeway to Kalika Temple",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Palitana Temples,Temple Complex / Religious Tourism,nan,5:30 AM - 7:00 PM (varies by season),Free entry,October to March (cooler weather for climbing),Palitana Railway Station (5 km),Palitana Bus Stand (4 km),Bhavnagar Airport (55 km),No metro available,"3,500 steps climb, doli (palanquin) service available, not wheelchair accessible","Local Jain guides available, religious significance explained","Available at base, ₹15 for cars","Dharamshala, vegetarian restaurants, basic medical aid",,https://en.wikipedia.org/wiki/Palitana_temples,"Sacred Jain pilgrimage site, 863 temples on Shatrunjaya Hill, no food/water allowed on hill after sunset",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Saputara Hill Station,Hill Station / Eco-Tourism,nan,Open 24/7 (individual attractions have specific timings),No entry fee for hill station; Lake garden: ₹10,June to February (monsoon and post-monsoon),Bilimora Railway Station (60 km),Saputara Bus Stand (1 km),Surat Airport (85 km),No metro available,"Mountain roads, good connectivity, some attractions wheelchair accessible","Local tribal culture tours, nature walks available","Available throughout, ₹10-20 for cars","Hotels, resorts, restaurants, ropeway, boating",https://www.gujarattourism.com/saputara/,https://en.wikipedia.org/wiki/Saputara,"Only hill station in Gujarat, tribal culture, Artist Village, monsoon destination",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Adalaj Stepwell,Historical Monument / Architectural Site,nan,Sunrise to Sunset,Free entry,October to March (pleasant weather for exploration),Kali Gandhi Marg Railway Station (15 km),Adalaj Bus Stand (1 km),Sardar Vallabhbhai Patel Airport (25 km),Adalaj Metro Station (2 km),"Steps to descend, not wheelchair accessible, good lighting","ASI guides available on request, information boards present","Available, ₹10 for cars","Small shops, restrooms, interpretation center",,https://en.wikipedia.org/wiki/Adalaj_Stepwell,"15th-century Indo-Islamic architecture, five-story stepwell, intricate carvings, natural cooling system",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Blackbuck National Park,National Park / Wildlife Sanctuary,nan,6:00 AM - 6:00 PM,"₹25 (Indians), ₹200 (foreigners); Camera: ₹25","October to March (wildlife active, pleasant weather)",Bhavnagar Railway Station (45 km),Velavadar Bus Stand (2 km),Bhavnagar Airport (50 km),No metro available,"Safari vehicles available, grassland terrain, wheelchair accessible vehicles on request","Forest guides mandatory, English and Gujarati support","Available at entry gate, ₹10 for cars","Forest rest house, basic canteen, restrooms",,"https://en.wikipedia.org/wiki/Blackbuck_National_Park,_Velavadar","Largest population of blackbucks in India, harrier eagles, wolf sightings possible",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Vadodara (Baroda),Cultural Tourism / Historical City,nan,Varies by attraction,Laxmi Vilas Palace: ₹150; Museums: ₹10-50,October to March (pleasant weather for sightseeing),Vadodara Junction (city center),Central Bus Stand (2 km),Vadodara Airport (8 km),No metro available,"Well-developed city, most attractions accessible","City tours available, heritage walks organized","Available throughout city, ₹10-30 per location","Hotels, restaurants, shopping malls, medical facilities",https://www.gujarattourism.com/vadodara/,https://en.wikipedia.org/wiki/Vadodara,"Cultural capital of Gujarat, Laxmi Vilas Palace, Sayaji Baug, MS University, Baroda Museum",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Lothal Archaeological Site,Archaeological Site / Historical Monument,nan,9:00 AM - 5:00 PM (closed on Fridays),"₹25 (Indians), ₹300 (foreigners)",October to March (comfortable weather for site exploration),Lothal-Bhurkhi Railway Station (6 km),Lothal Village (1 km),Sardar Vallabhbhai Patel Airport (80 km),No metro available,"Walking required, uneven surfaces, not wheelchair accessible","ASI guides available, museum with detailed explanations","Limited parking, ₹5 for cars","Museum, basic refreshments, restrooms",,https://en.wikipedia.org/wiki/Lothal,"4,500-year-old Harappan civilization site, ancient dockyard, bead-making factory, maritime heritage",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Girnar Hills,Religious Site / Trekking / Hill Station,nan,4:00 AM - 8:00 PM; Ropeway: 8:00 AM - 6:00 PM,Free for temples; Ropeway: ₹250 (round trip),October to March (cooler weather for trekking),Junagadh Railway Station (8 km),Junagadh Bus Stand (8 km),Rajkot Airport (102 km),No metro available,"10,000 steps trek, ropeway available to Ambaji Temple, moderate to difficult trekking",Local guides available for religious significance,"Available at base, ₹15 for cars","Dharamshala, food stalls, medical aid, restrooms",,https://en.wikipedia.org/wiki/Girnar,"Five mountain peaks, multiple Jain and Hindu temples, Ropeway to Ambaji Temple, panoramic views",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Mandvi Beach,Beach / Coastal Tourism,nan,Open 24/7 (best visited during daylight),Free entry,"October to March (pleasant weather, calm seas)",Gandhidham Railway Station (60 km),Mandvi Bus Stand (2 km),Bhuj Airport (60 km),No metro available,"Beach accessible by road, some areas wheelchair accessible","Boat rides available, local fishermen guides","Available near beach, ₹10 for cars","Beach resorts, restaurants, water sports, camel rides",,https://en.wikipedia.org/wiki/Mandvi,"White sand beach, Vijay Vilas Palace nearby, water sports activities, ship-building heritage",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Nalsarovar Bird Sanctuary,Bird Sanctuary / Eco-Tourism,nan,6:00 AM - 6:00 PM,"₹20 (Indians), ₹150 (foreigners); Boat charges: ₹500-1000",November to February (migratory season),Viramgam Railway Station (30 km),Nalsarovar Village (5 km),Sardar Vallabhbhai Patel Airport (65 km),No metro available,"Observation towers accessible, walking trails, wheelchairs manageable on main paths","Local boatmen with bird knowledge, binoculars available","Available at jetty, ₹10 for cars","Forest rest house, basic canteen, bird watching towers",,https://en.wikipedia.org/wiki/Nalsarovar_Bird_Sanctuary,"Largest wetland bird sanctuary in Gujarat, 250+ bird species, flamingo sightings, migratory birds",gujarat_tourism_guide_2025_full.csv
Gujarat,GJ,Little Rann of Kutch (Wild Ass Sanctuary),Wildlife Sanctuary / Eco-Tourism,nan,6:00 AM - 6:00 PM (October to June; closed during monsoons),"₹25 (Indians), ₹200 (foreigners); Safari vehicle: ₹1,500-2,500","October to March (wild ass active, pleasant weather)",Viramgam Railway Station (45 km),Dasada Bus Stand (8 km),Sardar Vallabhbhai Patel Airport (120 km),No metro available,"4WD vehicles required, salt flat terrain, not wheelchair accessible","Mandatory forest guides, wildlife expertise provided","Available at entry points, ₹15 for cars","Desert resorts, eco-lodges, basic restaurants",https://forests.gujarat.gov.in/wild-ass-sanctuary.htm,https://en.wikipedia.org/wiki/Indian_Wild_Ass_Sanctuary,"Only home to endangered Asiatic wild ass, largest wildlife sanctuary in India (4,953 sq km), salt flats, flamingo colonies",gujarat_tourism_guide_2025_full.csv
